음식이름,영양성분,함유량
계란볶음밥,베타카로틴,18.48㎍
계란볶음밥,니아신,0.88mg
계란볶음밥,나트륨,787.12mg
계란볶음밥,단백질,16.18g
계란볶음밥,당질,27.52g
계란볶음밥,레티놀,153.00㎍
계란볶음밥,비타민 A,156.08㎍RE
계란볶음밥,비타민 B,60.19mg
계란볶음밥,비타민 C,0.00mg
계란볶음밥,비타민 E,23.01mg
계란볶음밥,식이섬유,1.18g
계란볶음밥,아연,1.73mg
계란볶음밥,엽산,8.13㎍
계란볶음밥,인,234.72mg
계란볶음밥,지질,41.21g
계란볶음밥,철분,2.49mg
계란볶음밥,칼륨,189.75mg
계란볶음밥,칼슘,47.66mg
계란볶음밥,콜레스테롤,475.00mg
콘치즈,베타카로틴,200.08㎍
콘치즈,니아신,2.48mg
콘치즈,나트륨,"1,198.04mg"
콘치즈,단백질,15.84g
콘치즈,당질,48.27g
콘치즈,레티놀,0.00㎍
콘치즈,비타민 A,137.37㎍RE
콘치즈,비타민 B,60.31mg
콘치즈,비타민 C,14.15mg
콘치즈,비타민 E,8.02mg
콘치즈,식이섬유,5.80g
콘치즈,아연,3.56mg
콘치즈,엽산,94.80㎍
콘치즈,인,331.32mg
콘치즈,지질,55.04g
콘치즈,철분,1.93mg
콘치즈,칼륨,354.76mg
콘치즈,칼슘,289.39mg
콘치즈,콜레스테롤,94.10mg
자완무시,베타카로틴,973.36㎍
자완무시,니아신,1.97mg
자완무시,나트륨,"1,460.72mg"
자완무시,단백질,25.37g
자완무시,당질,18.87g
자완무시,레티놀,229.50㎍
자완무시,비타민 A,391.80㎍
자완무시,비타민 B,60.34mg
자완무시,비타민 C,9.52mg
자완무시,비타민 E,3.41mg
자완무시,식이섬유,6.71g
자완무시,아연,1.67mg
자완무시,엽산,331.54㎍
자완무시,인,380.08mg
자완무시,지질,17.22g
자완무시,철분,4.95mg
자완무시,칼륨,"1,912.96mg"
자완무시,칼슘,311.38mg
자완무시,콜레스테롤,719.22mg
녹두빈대떡,베타카로틴,86.40㎍
녹두빈대떡,니아신,1.68mg
녹두빈대떡,나트륨,493.52mg
녹두빈대떡,단백질,9.60g
녹두빈대떡,당질,17.75g
녹두빈대떡,레티놀,1.00㎍
녹두빈대떡,비타민 A,15.40㎍RE
녹두빈대떡,비타민 B,60.37mg
녹두빈대떡,비타민 C,4.50mg
녹두빈대떡,비타민 E,6.86mg
녹두빈대떡,식이섬유,2.15g
녹두빈대떡,아연,0.83mg
녹두빈대떡,엽산,84.17㎍
녹두빈대떡,인,161.50mg
녹두빈대떡,지질,9.56g
녹두빈대떡,철분,1.56mg
녹두빈대떡,칼륨,329.85mg
녹두빈대떡,칼슘,26.00mg
녹두빈대떡,콜레스테롤,11.00mg
탕수육,베타카로틴,"5,442.80㎍"
탕수육,니아신,13.93mg
탕수육,나트륨,288.42mg
탕수육,단백질,51.73g
탕수육,당질,324.64g
탕수육,레티놀,10.00㎍
탕수육,비타민 A,917.10㎍RE
탕수육,비타민 B,63.02mg
탕수육,비타민 C,31.20mg
탕수육,비타민 E,14.23mg
탕수육,식이섬유,11.80g
탕수육,아연,12.75mg
탕수육,엽산,131.38㎍
탕수육,인,612.20mg
탕수육,지질,48.26g
탕수육,철분,18.57mg
탕수육,칼륨,"1,590.08mg"
탕수육,칼슘,193.78mg
탕수육,콜레스테롤,110.30mg
감자탕,베타카로틴,"3,673.03㎍"
